location_name,city,website,phone,postal_code,address,province,monday,tuesday,wednesday,thursday,friday,latitude,longitude,Accessible Entrances,Accessible Washrooms,Accessible Parking,Individual Service,Wait Accommodations
North Shore Health Network - Blind River,Blind River,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2661,P0R 1B0,525 Causley Street,ON,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,46.187422,-82.924052,No,No,No,Yes,No
North Shore Health Network - Thessalon,Thessalon,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2662,P0R 1L0,135 Dawson Drive,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,46.263058,-83.562473,No,Yes,No,No,No
Rainy River Health Centre,Rainy River,https://www.riversidehealthcare.ca/,807-274-3261 ext. 4913,P9A 2B7,207 Victoria Avenue,ON,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,48.607083,-93.39302,Yes,No,Yes,Yes,Yes
Santé Manitouwadge Health,Manitouwadge,https://www.mh.on.ca/assessmentcentre,807-826-3251 ext. 221,P0T 2C0,1 Health Care Crescent,ON,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,49.127701,-85.824681,Yes,Yes,No,No,Yes
Sault Area Hospital / Kal Tire,Sault Ste. Marie,https://cac-sah.vertoengage.com/,705-759-3434 ext. 7152,P6B 5X5,165 Drive In Road,ON,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,46.547984,-84.321432,No,No,Yes,No,No
Meno Ya Win Health Centre,Sioux Lookout,https://slmhc.on.ca/about/covid-19-information/covid-19-assessment-centre/,807-737-5880,P8T 1B4,1 Meno Ya Win Way,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,50.106023,-91.92795,No,No,No,Yes,Yes
Smooth Rock Falls Hospital,Smooth Rock Falls,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-338-2781 ext. 3229,P0L 2B0,107 Kelly Road,ON,,10:00-14:00,,10:00-14:00,,49.272619,-81.610334,No,Yes,Yes,No,Yes
Superior North EMS Community Paramedicine Program,Thunder Bay,https://www.tbdhu.com/coronavirus,807-935-8100,P7B 2M6,1408 Brown Street,ON,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,48.365919,-89.28123,No,Yes,Yes,Yes,No
Temiskaming Hospital,Temiskaming Shores,https://temiskaming-hospital.com/tem/,705-648-1844,P0J 1P0,421 Shepherdson Road,ON,09:00-12:00&13:00-16:00,09:00-12:00&13:00-16:00,09:00-12:00&13:00-16:00,09:00-12:00&13:00-16:00,09:00-12:00&13:00-16:00,47.495213,-79.693163,Yes,Yes,No,Yes,No
Thunder Bay Assessment Centre,Thunder Bay,https://www.tbdhu.com/coronavirus,807-935-8100,P7B 6V4,980 Oliver Road,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,48.424784,-89.269319,Yes,No,No,Yes,No
Fort Albany Hospital,Fort Albany,https://www.waha.ca/covid-19/,705-278-2150,P0L 1H0,5 Airport Road,ON,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,,52.206719,-81.684853,Yes,Yes,No,No,Yes
Attawapiskat Hospital,Attawapiskat,https://www.waha.ca/covid-19/,705-997-2150,P0L 1A0,972 Riverside East,ON,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,,52.922613,-82.425772,Yes,No,No,Yes,Yes
Moosonee Health Centre,Moosonee,https://www.waha.ca/covid-19/,705-336-2341,P0L 1Y0,5 Percy's Way,ON,13:00-16:00,,13:00-16:00,13:00-16:00,,51.271219,-80.65086,No,No,Yes,Yes,Yes
Kashechewan Health Services,Kashechewan,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,P0L 1S0,,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,0,0,No,No,Yes,Yes,No
Peawanuck Nursing Station,Peawanuck,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,P0L 2H0,,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,0,0,No,Yes,No,Yes,Yes
West Nipissing General Hospital,Sturgeon Falls,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,705-580-2186,P2B 2Y6,219 O'Hara Street,ON,12:00-16:00,12:00-16:00,,12:00-16:00,12:00-16:00,46.367086,-79.917254,Yes,Yes,No,No,No
Brant Community Healthcare System,Brantford,https://www.bchsys.org/en/covid-19-online-scheduling.aspx,519-751-5818,N3S2E4,79 Market Street South,ON,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,43.135386,-80.263542,No,No,No,Yes,No
Cambridge Assessment Centre,Cambridge,https://myvisit.cmh.org/,226-895-1050,N3C 3T2,215 Holiday Inn Drive,ON,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,08:30-20:30,43.41699,-80.320331,No,No,No,Yes,No
Chatham-Kent Health Alliance,Chatham,http://www.assessmentbooking.ca,519-436-2556,N7L 1B5,10 Grand Avenue West,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,42.40751,-82.19116,Yes,No,Yes,Yes,No
Erie Shores Healthcare,Leamington,https://www.erieshoreshealthcare.ca/COVID19AssessmentCentre,519-326-2373 ext. 4263,N8H 1N9,194 Talbot Street West,ON,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,12:00-17:00,42.048807,-82.614178,Yes,Yes,No,Yes,No
Grand River Hospital COVID-19 Testing Centre,Kitchener,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,519-749-4300 ext. 6824,N2G 1G3,835 King Street West,ON,07:30-18:30,07:30-18:30,07:30-18:30,07:30-18:30,07:30-18:30,43.456239,-80.511992,No,No,Yes,Yes,No
Grand River Hospital - Drive Thru COVID-19 Assessment Center,Kitchener,https://www.grhosp.on.ca/,226-806-5690,N2G 1H3,15 Charles Street West,ON,07:30-18:00,07:30-19:00,07:30-19:00,07:30-19:00,07:30-19:00,43.4492284816147,-80.4911559761408,No,Yes,No,Yes,No
Grey Bruce Health Services - Owen Sound,Owen Sound,https://gbhs.simplybook.me/v2/,519-378-1466,N4K 6C1,"1100 16th Avenue East, Unit C",ON,10:00-16:00,,10:00-16:00,,10:00-16:00,44.5710589081494,-80.9157453019511,No,Yes,Yes,Yes,No
Dave Andreychuk Mountain Arena Assessment Centre,Hamilton,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,L9A 2N3,25 Hester Street,ON,,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,43.22559,-79.880934,No,Yes,No,Yes,Yes
Hamilton Health Sciences,Hamilton,http://www.HamiltonCovidTest.ca,289-778-1465,L8S 1A4,690 Main Street West,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,43.26044,-79.897864,Yes,Yes,No,Yes,Yes
Hanover and District Hospital,Hanover,https://www.hanoverhospital.on.ca/news.php?pgid=121,519-378-1466,N4N 1N1,90 7th Avenue,ON,13:00-17:00,,13:00-17:00,,13:00-17:00,44.141506,-81.029323,No,No,Yes,Yes,No
Joseph Brant Hospital,Burlington,https://www.josephbranthospital.ca/en/redevelopment-expansion/covid-19-assessment-testing.asp?_mid_=33300,905-632-3737 ext. 6550,L7S 1C4,1230 North Shore Boulevard,ON,08:00-19:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,43.3170368880846,-79.8026846308755,Yes,Yes,Yes,No,Yes
Listowel Wingham Hospitals Alliance,Listowel,https://lwha.ca/covidbooking/,519-291-2133,N4W 2P5,255 Elizabeth Street East,ON,08:30-16:30,08:30-12:30,08:30-16:30,,08:30-16:30,43.7336,-80.948919,Yes,Yes,No,No,No
Niagara Health Greater Niagara General Site,Niagara Falls,https://www.niagarahealth.on.ca/centres,905-378-4647 ext. 42819,L2E 6X2,5546 Portage Road,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,43.094126,-79.089606,Yes,No,No,Yes,Yes
Niagara Health St. Catharines Site,St. Catharines,https://www.niagarahealth.on.ca/centres,905-378-4647 ext. 42819,L2S 0A9,1200 Fourth Avenue,ON,08:00-16:00,08:00-18:00,08:00-16:00,08:00-18:00,08:00-16:00,43.153843,-79.278522,Yes,Yes,No,Yes,No
Six Nations COVID-19 Assessment & Drive-Through Test Centre,Ohsweken,https://www.sixnationscovid19.ca/,1-855-977-7737,N0A 1M0,1738 Fourth Line Road,ON,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,43.069122,-80.122986,Yes,No,Yes,Yes,Yes
Carling Heights Optimist Community Centre,London,http://www.covidtestinglm.ca,519-685-8500 ext. 75503,N5Y 6L3,656 Elizabeth Street,ON,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,42.998736,-81.228895,Yes,No,No,Yes,No
St. Mary's General Hospital - Bathurst Site,Waterloo,https://www.smgh.ca/,519-885-9517,N2V 2C5,"50 Bathurst Drive, Unit 1",ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,43.507454,-80.538638,No,No,Yes,Yes,Yes
St. Thomas Elgin General Hospital,St. Thomas,https://www.stegh.on.ca/patients-visitors/covid-19/covid-19-assessment-centre/,519-631-2030 ext. 6210,N5R 5C4,189 Elm Street,ON,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,42.763425,-81.180145,No,Yes,Yes,Yes,Yes
Tillsonburg District Memorial Hospital,Tillsonburg,https://www.tillsonburghospital.on.ca/about-tdmh/covid-19/,1-855-905-6148,N4G 1V4,17 Bear Street,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,42.863656,-80.733757,No,Yes,No,No,Yes
West Haldimand General Hospital,Hagersville,https://www.whgh.ca/,905-768-3311 ext. 1113,N0A 1H0,75 Parkview Road,ON,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,42.959342,-80.041081,Yes,Yes,Yes,Yes,Yes
Windsor Regional Hospital - Ouellette Campus,Windsor,https://www.wrh.on.ca/COVID19AssessmentCentre,519-973-4443,N9A 1E1,1030 Ouellette Avenue,ON,08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00,42.309167,-83.031869,No,No,No,Yes,No
Woodstock General Hospital,Woodstock,https://www.wgh.on.ca/display/PV/COVID-19+Assessment+Centre,1-855-905-6148,N4V 0A4,310 Juliana Drive,ON,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,43.106722,-80.753799,Yes,Yes,No,Yes,No
Blanche River Health-Kirkland,Kirkland Lake,http://www.blancheriverhealth.ca/brh_website/,705-568-2127,P2N 3P4,145 Government Road East,ON,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,48.153552,-80.014725,Yes,Yes,No,No,Yes
South Georgian Bay Regional Assessment Centre,Collingwood,https://gbfht.ca/cac/,705-444-5885,L9Y 1N6,490 Ontario Street,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,44.503928,-80.201516,Yes,No,Yes,Yes,Yes
Midland Assessment Centre,Midland,https://outlook.office365.com/owa/calendar/GeorgianBayGeneralHospital@gbgh.on.ca/bookings/,705-529-1025,L4R 4P4,1156 St. Andrews Drive,ON,07:00-18:00,,07:00-15:00,07:00-15:00,07:00-15:00,44.74184,-79.912455,No,Yes,No,No,Yes
COVID-19 Testing Clinic Milton,Milton,http://www.fhhealth.com/pho,437-826-2118,L9T 9K1,725 Bronte Street South,ON,09:00-17:00,09:00-17:00,09:00-17:00,11:00-19:00,09:00-17:00,43.497418,-79.868476,Yes,Yes,No,Yes,Yes
Credit Valley Hospital – Drive-Thru,Mississauga,https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere,,L5M 2N1,2200 Eglinton Avenue West,ON,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,43.558655,-79.703279,No,Yes,No,No,No
"COVID-19 CHEO Assessment Centre for Infants, Children and Youth at Brewer Park Arena",Ottawa,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,613-737-7600 ext. 6720,K1S 5T1,151 Brewer Way,ON,10:30-17:30,10:30-17:30,10:30-17:30,10:30-17:30,10:30-17:30,45.389239,-75.690478,No,No,No,No,Yes
COVID-19 Assessment Centre for Adults at Brewer Park Arena,Ottawa,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,613-737-8193,K1S 5T1,151 Brewer Way,ON,10:30-17:30,10:30-17:30,10:30-17:30,10:30-17:30,10:30-17:30,45.389239,-75.690478,Yes,Yes,No,No,No
Haliburton County Assessment Centre,Haliburton,https://www.haliburtoncares.ca/,705-457-1212 ext. 6,K0M 1S0,7217 Gelert Road,ON,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-15:00,45.039054,-78.528165,Yes,No,No,No,Yes
Hawkesbury COVID-19 Assessment Centre,Hawkesbury,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,613-446-7677,K6A 3N9,750 Laurier Street,ON,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,45.603834,-74.598607,Yes,Yes,No,No,No
Hawkesbury and District General Hospital - Rockland,Rockland,https://www.crfht.ca/en/our-clinic/covid-19-updates,613-446-7677,K4K 0B4,2741 Chamberland Street,ON,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-16:00,45.544511,-75.301242,No,No,No,No,No
Kingston Assessment Centre,Kingston,https://kingstonhsc.ca/patients-families-and-visitors/covid-19-information/community-assessment-centre,613-548-2376,K7M 9B1,51 Heakes Lane,ON,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,44.218676,-76.521757,Yes,Yes,No,No,Yes
Prince Edward Covid-19 Assessment Centre - Prince Edward Community Centre,Picton,https://www.qhc.on.ca/covid-19.php,613-813-6864,K0K 2T0,375 Main Street East,ON,12:00-16:00,12:00-16:00,12:00-16:00,12:00-16:00,12:00-16:00,44.008797,-77.139402,Yes,Yes,Yes,No,Yes
COVID-19 Care and Testing Centre –  Moodie,Ottawa,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,613-721-4722,K2H 8A8,595 Moodie Drive,ON,08:00-15:30,08:00-15:30,08:00-15:30,08:00-15:30,08:00-15:30,45.310814,-75.825601,No,No,Yes,Yes,No
Quinte West COVID-19 Assessment Centre/Duncan McDonald Memorial Community Gardens Arena,Trenton,https://www.qhc.on.ca/covid-19.php,613-961-5544,K8V 1G8,8 Couch Crescent,ON,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,44.102899,-77.569555,Yes,No,No,No,No
RMH COVID-19 Assessment Centre,Lindsay,https://www.rmh.org/covid-19,705-328-6217,K9V 4M8,10 Angeline Street North,ON,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,44.352402,-78.751362,No,No,No,Yes,Yes
